date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:54	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2018%20Jul%202021%2016:41:53%20GMT	https://fonts.googleapis.com/robots.txt		(from https://mycrd.in/new-tiruppur-traders)
22:11:54	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Jul%202021%2016:41:54%20GMT	http://mycrd.in/robots.txt		(from https://mycrd.in/new-tiruppur-traders)
22:11:57	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:41:55%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484044339.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484044339.jpg	(from https://mycrd.in/new-tiruppur-traders)
22:11:57	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:41:55%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599481719022.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599481719022.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:11:57	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:41:55%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484004915.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484004915.jpg	(from https://mycrd.in/new-tiruppur-traders)
22:11:57	351/351	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:41:55%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/3373.vcf	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/3373.vcf	(from https://mycrd.in/new-tiruppur-traders)
22:12:00	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:41:58%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484102468.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484102468.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:12:00	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:41:58%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484189114.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484189114.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:12:00	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:41:58%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484219933.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484219933.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:12:03	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:42:00%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484707775.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484707775.jpg	(from https://mycrd.in/new-tiruppur-traders)
